Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
1.301,99.919,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN,SIALI ALI,
1.32,99.8,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN,AEKHARUAYA),
1.45,99.385,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,TAPANULI SELATAN,PADANG SIDEMPUAN TIMUR,SAMPEAN KAPAR,
2,100.525,NOAA19,8:04:19 AM,20160926,ASMC,RIAU,ROKAN HILIR,KECAMATAN KUBU,SUNGAI SIGAJAH,
2.1,98.87,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,TAPANULI UTARA,PARMONANGAN,HUTA TINGGI,
1.11,99.72,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN,SIGURBUS JAE,
2.18,98.49,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,HUMBANG HASUNDUTAN,PAKKAT,SIJARANGO,
2.22,98.85,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,TAPANULI UTARA,LINTONG NIHUTA,TAPIAN NAULI,
4.01,97.43,NOAA19,8:04:19 AM,20160926,ASMC,ACEH,GAYOLUES,PINDING,GAJAH,
4.54,96.86,NOAA19,8:04:19 AM,20160926,ASMC,ACEH,ACEH TENGAH,KOTA TAKENGON,KENAWAT,TB LINGGA ISAQ
5.49,95.54,NOAA19,8:04:19 AM,20160926,ASMC,ACEH,ACEH BESAR,DARUSSALAM,LAM GAWE,
-3.27,101.8,NOAA19,8:04:19 AM,20160926,ASMC,BENGKULU,BENGKULU UTARA,KETAHUN,KUALA LELANGI,
-0.18,101.52,NOAA19,8:04:19 AM,20160926,ASMC,RIAU,KUANTAN SINGINGI,KECAMATAN LOGAS TANAH DARAT,KUANTAN SAKO,
0.52,100.93,NOAA19,8:04:19 AM,20160926,ASMC,RIAU,KAMPAR,KECAMATAN TAPUNG,KASIKAN,
0.98,102.1,NOAA19,8:04:19 AM,20160926,ASMC,RIAU,SIAK,KECAMATAN BUNGA RAYA,TELUK MESJID,
1.14,104.38,NOAA19,8:04:19 AM,20160926,ASMC,KEPULAUAN RIAU,KEPULAUAN-RIAU,BINTAN UTARA,EKANG ANCULAI,
1.22,100.045,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,SOSA,UPT UJUNG BATU V,
1.236,100.082,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,SOSA,UJUNG BATU IV,
1.24,99.71,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN,SIRAISAN,
1.39,99.45,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS UTARA,PADANG SIDEMPUAN TENGGARA,SIHITANG,
1.52,99.93,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,PADANG LAWAS UTARA,BARUMUN TENGAH,SIONGGOTON,
1.92,100.37,NOAA19,8:04:19 AM,20160926,ASMC,RIAU,ROKAN HILIR,KECAMATAN SIMPANG KANAN,TANJUNG LEBAN,
2.11,99,NOAA19,8:04:19 AM,20160926,ASMC,SUMATERA UTARA,TAPANULI UTARA,SIBORONG-BORONG,PANIARAN,
